Pathway,nGenesMapped,nGenesUsed,nSamples,ObservedP,empiricalP,Genes
499382_GO:0022836_gated_channel_activity,306,225,1000,9.52530536231998e-25,0.026973026973027,SCNN1D_GABRD_KCNAB2_CLCN6_CLCNKB_CLIC4_CATSPER4_GRIK3_KCNQ4_CLCA3P_KCNA2_KCND3_GPR89A_GPR89B_HCN3_KCNJ9_CACNA1E_KCNT2_CACNA1S_KCNH1_KCNK2_KCNK1_RYR2_KCNF1_KCNS3_FKBP1B_KCNK3_KCNG3_KCNK12_KCNIP3_CNGA3_TMEM37_CACNB4_KCNJ3_KCNH7_SCN2A_SCN7A_CHRNA1_ITGAV_KCNE4_KCNJ13_ANO7_ITPR1_GRM7_KCNH8_SCN11A_ANO10_CACNA2D2_CACNA2D3_GABRR3_TRPC1_KCNAB1_KCNMB3_CLCN2_KCNIP4_STIM2_CHRNA9_GABRA2_GABRB1_CNGA1_REST_NUDT9_PKD2_GRID2_TRPC3_ASIC5_GRIA2_CLCN3_GLRA3_HCN1_KCNN2_VDAC1_CATSPER3_TRPC7_ANXA6_NMUR2_GRIA1_GABRG2_GABRP_SLC17A3_CLIC1_ITPR3_KCNK16_CLIC5_KCNQ5_GABRR2_GRIK2_OPRM1_TTYH3_AQP1_CACNA2D1_ORAI2_CFTR_KCND2_CLCN1_ASIC3_CHRNA2_KCNU1_CHRNA6_KCNB2_CNGB3_KCNS2_KCNV1_KCNQ3_KCNK9_KCNV2_TRPM3_TMC1_GRIN3A_NCS1_KCNT1_GRIN1_CACNA1B_VDAC2_KCNMA1_GRID1_PKD2L1_KCNIP2_CALHM1_KCNK18_ANO9_KCNQ1_CHRNA10_CNGA4_KCNC1_ANO5_ANO3_KCNA4_P2RX3_TMEM109_KCNK4_CATSPER1_TPCN2_ANO1_KCNE3_TRPC6_GRIA4_HTR3A_SCN2B_GRIK4_SCN3B_KCNJ5_CACNA1C_KCNA5_SCNN1A_GRIN2B_KCNJ8_ITPR2_ANO6_CACNB3_ASIC1_SCN8A_KCNMB4_KCNC2_ANO4_TRPV4_HVCN1_TPCN1_ORAI1_P2RX2_MTMR6_TRPC4_NALCN_RASA3_KCNH5_TMEM63C_KCNK10_KCNK13_GABRG3_CHRFAM7A_CHRNA7_RYR3_CATSPER2_HCN4_CHRNB4_CLCN7_GRIN2A_SCNN1B_CACNG3_ORAI3_CNGB1_KCNG4_JPH3_PIEZO1_P2RX1_CHRNE_KCNAB3_KCNJ18_ASIC2_CACNB1_KCNH4_CACNA1G_SCN4A_CACNG1_KCNJ2_GRIN2C_ZACN_PIEZO2_KCNG2_MCOLN1_CACNA1A_ANO8_KCNN1_HPN_RYR1_GRIK5_KCNN4_KCNJ14_SLC17A7_KCNC3_CACNG6_TMC2_JPH2_KCNS1_KCNB1_KCNG1_KCNQ2_GRIK1_CLIC6_KCNJ15_CCT8L2_P2RX6_CACNG2_KCNJ4_CACNA1I
499387_GO:0022842_narrow_pore_channel_activity,17,15,1000,1.14787917402088e-05,0.026973026973027,KCNK2_KCNK1_KCNK3_KCNK12_TMEM175_KCNK16_KCNK9_KCNK18_KCNK4_KCNK7_PANX1_KCNK10_KCNK13_KCNK6_KCNK15
500917_GO:0031668_cellular_response_to_extracellular_stimulus,199,183,1000,8.91383499956962e-21,0.026973026973027,MTOR_WNT4_RHCE_ZC3H12A_RRAGC_SLC2A1_PCSK9_PRKAA2_JUN_USP33_SH3GLB1_KIAA1324_WNT2B_GBA_RHBG_IFI16_USF1_GLUL_GLRX2_NUAK2_ATF3_MAP1LC3C_NCOA1_EIF2AK2_EIF2AK3_INHBB_NR4A2_DAPL1_ITGA6_NFE2L2_BMPR2_ATG7_PPARG_UCN2_NPRL2_PIK3R4_ALB_DSPP_IL15_SFRP2_SRD5A1_DAP_SKP2_PRKAA1_CARTPT_FNIP1_CPEB4_LTC4S_HFE_EHMT2_PIM1_SRF_RHAG_RRAGD_ATG5_NUDT1_MIOS_GCK_UPP1_NUPR1L_ELN_FZD1_PDK4_BHLHA15_CAV1_CADPS2_LEP_PTN_AOC1_WRN_SFRP1_PENK_KLF10_GSDMD_SLC39A4_VLDLR_RRAGA_CDKN2B_CTSV_ALDOB_TNC_HSPA5_LCN2_TSC1_UCN3_ITGB1_SIRT1_TCF7L2_RRP8_MYOD1_LDHA_SLC1A2_ATG13_FADS1_FOSL1_GSTP1_FOLR2_UCP2_HSPA8_FGF23_GABARAPL1_LRRK2_SLC38A2_VDR_AQP2_SLC39A5_AVPR1A_MDM2_PAWR_ATP2B1_NR1H4_PRDM4_MAP1LC3B2_P2RX7_ULK1_POSTN_FOXO1_DNAJC15_GAS6_ATG14_MAX_EIF2S1_ZFYVE1_FOS_KIF26A_EIF2AK4_FBXO22_RHCG_GABARAPL3_NPRL3_WDR24_TNRC6A_WDR59_GABARAPL2_MAP1LC3B_CHMP1A_MYBBP1A_TP53_MYH13_MYOCD_ADORA2B_SREBF1_CCL5_BECN1_WNT9B_COL1A1_PPM1D_BRIP1_SPHK1_RPTOR_SEH1L_IMPACT_DSC2_PIK3C3_PMAIP1_RNF152_BCL2_AES_ICAM1_CCNE1_USF2_SIRT2_AXL_FOXA3_PPP1R15A_FOXA2_MAP1LC3A_KCNB1_ADNP_CYP24A1_PCK1_ADAMTS1_CBS_COMT_XBP1_GAS2L1_MTMR3_DEPDC5_HMOX1_TXN2_PICK1_ATF4_SREBF2
501175_GO:0031935_regulation_of_chromatin_silencing,18,18,1000,5.25464425684895e-06,0.026973026973027,MIER1_SETDB1_ATAD2B_H2AFY_POU5F1_HMGA1_ASF1A_ATAD2_UHRF2_PHF2_SIRT1_TET1_SIN3A_UHRF1_DNMT1_ZNF304_TRIM28_CDC45
505535_GO:0042391_regulation_of_membrane_potential,348,287,1000,1.23808569513893e-27,0.026973026973027,PRKCZ_RNF207_PARK7_SLC25A33_NPPA_PINK1_CNR2_CATSPER4_SLC9A1_IFI6_ATPIF1_OPRD1_GRIK3_RIMS3_CLDN19_JUN_GCLM_GPR88_KCNA2_KCND3_CASQ2_ATP1A1_PIAS3_GJA5_MLLT11_CHRNB2_HCN3_ATP1A4_NOS1AP_ATP1B1_MYOC_CACNA1E_CACNA1S_ADORA1_SLC26A9_KCNH1_KCNK2_CNIH3_AGT_KCNK1_RYR2_NTSR2_FKBP1B_KCNK3_EHD3_SLC8A1_KCNK12_NRXN1_TACR1_CNGA3_GPR39_RAB3GAP1_CACNB4_KCNH7_SCN2A_SCN7A_CHRNA1_SUMO1_NDUFS1_PID1_CHRNG_CAV3_GHRL_WNT7A_KCNH8_GPD1L_SCN11A_CCK_SLC26A6_TUSC2_CACNA1D_PXK_ARL6IP5_GSK3B_SLC25A36_ATP1B3_NLGN1_KCNMB3_PEX5L_ADIPOQ_FGF12_DLG1_SLC26A1_HTT_WDR1_CNGA1_KDR_SNCA_GRID2_PPP3CA_CAMK2D_NPY2R_GLRB_NUP155_HCN1_MEF2C_GLRX_CATSPER3_ADRB2_SLC26A2_GLRA1_DRD1_SLC34A1_GNB2L1_DSP_EDN1_ATXN1_CLIC1_BAK1_SLC26A8_KCNK16_SLC29A1_GCLC_RIMS1_CNR1_GRIK2_POPDC3_PLN_GJA1_TRDN_AKAP7_HEBP2_OPRM1_SOD2_PARK2_GPER1_ABCB5_STX1A_SRI_AKAP9_PPP1R9A_TAC1_RELN_DLD_CAV1_CFTR_KCND2_DGKI_CLCN1_CDK5_DPP6_PTK2B_CHRNA6_CNGB3_SLC26A7_RIMS2_KCNQ3_KCNK9_CDKN2A_UNC13B_GNAQ_PTPN3_ABL1_CACFD1_GRIN1_CACNA1B_KIF5B_ANK3_CTNNA3_STOX1_KCNMA1_PTEN_KCNIP2_KCNK18_PRDX3_NPS_BNIP3_DRD4_KCNQ1_CNGA4_KCNJ11_BDNF_P2RX3_KCNK4_NPAS4_TPCN2_ANO1_KCNE3_MTNR1B_MTMR2_CASP1_BCO2_KMT2A_SCN3B_IGSF9B_CACNA1C_KCNA5_GRIN2B_PKP2_LRRK2_CACNB3_ASIC1_SCN8A_NPFF_SLC26A10_IFNG_KCNMB4_KCNC2_PAWR_DCN_ATP2A2_CUX2_SLC8B1_P2RX4_SPG20_FGF14_AKAP6_PPP2R3C_KCNH5_PSEN1_KCNK10_KCNK13_GABRB3_GJD2_CATSPER2_B2M_NEDD4_HCN4_CHRNB4_CACNA1H_SLC9A3R2_ABAT_GRIN2A_CLN3_STX1B_CNGB1_WWP2_PIEZO1_YWHAE_P2RX1_CHRNE_ATP1B2_RANGRF_UBB_SEZ6_ASIC2_CNTNAP1_GJC1_NGFR_CACNA1G_SCN4A_CACNG4_KCNJ2_GRIN2C_SLC26A11_PYCR1_ADCYAP1_PIEZO2_DSG2_CELF4_SMAD7_NEDD4L_PMAIP1_BCL2_NETO1_GNA11_S1PR2_CACNA1A_SLC1A6_HSH2D_CRTC1_FXYD1_KCNK6_GRIK5_KCNN4_DMPK_SLC17A7_SHANK1_PANK2_BCL2L1_SNTA1_SRC_RIMS4_ZMYND8_KCNB1_NTSR1_CHRNA4_CXADR_GRIK1_SOD1_KCNE1_C22orf29_YWHAH_CACNG2_CACNA1I_TSPO_SHANK3
506336_GO:0043270_positive_regulation_of_ion_transport,229,198,1000,9.81306677152949e-22,0.026973026973027,RNF207_PARK7_NPPA_HTR6_PINK1_SLC9A1_PTAFR_CYP4A11_RAB3B_LPAR3_AHCYL1_PDZK1_CTSS_S100A1_CHRNB2_NOS1AP_XCL1_ATP1B1_ADORA1_ARF1_RYR2_UCN_CALM2_VAMP8_IL1B_GPR39_RAB3GAP1_PLA2R1_GCG_STK39_SUMO1_FAM132B_SLC6A1_GPD1L_SCN5A_CCK_CCR1_SLC38A3_CACNA1D_MYLK_SNX4_TRH_ATP1B3_TRPC1_P2RY12_P2RY1_CLDN16_FGF12_DLG1_HTT_WFS1_STIM2_ATP8A1_CXCL11_PKD2_SNCA_ANK2_TRPC3_EDNRA_NPY2R_GDNF_F2R_HOMER1_GLRX_ACSL6_IL13_ADRB2_CAMK2A_NKX2-5_DRD1_SLC34A1_GRM6_MAPK9_EDN1_HFE_GABBR1_AGER_BAK1_TRDN_AKAP7_SGK1_CNKSR3_GPER1_ADCYAP1R1_NPSR1_ABCB4_SRI_AKAP9_RELN_HBP1_CAV1_CFTR_LEP_KCNH2_DPP6_SLC18A1_STC1_DPYSL2_IKBKB_OPRK1_ASPH_SGK3_ARC_CREB3_WNK2_ABL1_KIF5B_CXCL12_ANK3_TACR2_GSTO1_ADRA2A_ADRB1_DRD4_KCNQ1_STIM1_KCNC1_F2_P2RX3_CHRM1_GAL_P2RY2_KCNE3_TRPC6_DRD2_SCN4B_THY1_SCN3B_CD4_PKP2_CNTN1_ANO6_RAPGEF3_LACRT_AVPR1A_KCNC2_NOS1_TRIAP1_ORAI1_P2RX2_ATP8A2_TNFSF11_FGF14_AKAP6_BMP4_LGALS3_HSPA2_CALM1_BDKRB1_AKT1_CHP1_CAPN3_B2M_CEMIP_PDPK1_ABAT_PLA2G10_PRSS8_PLCG2_ATP2C2_P2RX1_ARRB2_ATP1B2_PIRT_TRPV2_CCL2_CCL4_HCRT_MAP2K6_KCNJ2_GALR2_NEDD4L_TNFRSF11A_DNM2_CYP4F2_F2RL3_JAK3_FFAR1_ACTN4_TEX101_APOE_CALM3_BAX_AVP_PLCG1_SGK2_JPH2_EDN3_NTSR1_GRIK1_KCNE1_PCP4_MIF_ADORA2A_PLA2G6_PDGFB_TSPO_SHANK3
508012_GO:0045664_regulation_of_neuron_differentiation,544,456,1000,2.0200589410192e-40,0.026973026973027,DVL1_HES5_TP73_HES3_DRAXIN_NBL1_MUL1_RAP1GAP_EPHB2_LIN28A_MYCL_FOXO6_PTPRF_LRP8_DAB1_LRRC7_NEGR1_LPAR3_BARHL2_GFI1_AMIGO1_RAP1A_NGF_SEMA6C_SNAPIN_CHRNB2_EFNA1_SEMA4A_NTRK1_LMX1A_PRRX1_DNM3_TNR_BRINP2_ABL2_BRINP3_ASPM_SYT2_FMOD_CNTN2_RAB29_SRGAP2C_PLXNA2_PROX1_ARF1_DISC1_SOX11_KIDINS220_MYCN_GDF7_NCOA1_SIX3_EFEMP1_BCL11A_MEIS1_DGUOK_SEMA4F_ADRA2B_SEMA4C_IL1B_GLI2_BIN1_ZEB2_TBR1_CHN1_HOXD3_NEUROD1_BMPR2_VWC2L_FN1_CTDSP1_OBSL1_EPHA4_SERPINE2_ITM2C_NGEF_RAB17_STK25_CNTN4_CAMK1_WNT7A_KAT2B_RARB_EOMES_CLASP2_GOLGA4_GORASP1_ULK4_CCR2_NCKIPSD_RHOA_SEMA3B_SEMA3G_WNT5A_FEZF2_ROBO2_ROBO1_EPHA3_C3orf17_GSK3B_SEMA5B_PLXNA1_MGLL_GATA2_PLXND1_RYK_SHOX2_SKIL_TNIK_ECT2_NLGN1_SOX2_EPHB3_ETV5_BCL6_HES1_GAK_ADRA2C_SLIT2_PHOX2B_REST_RUFY3_PAQR3_NKX6-1_SPP1_ATOH1_PDLIM5_EIF4E_PPP3CA_NEUROG2_NDNF_IL2_SFRP2_RAPGEF2_TENM3_SEMA5A_ISL1_PLK2_MAP1B_ENC1_ARSB_MEF2C_EFNA5_WDR36_NREP_SEMA6A_FSTL4_NEUROG1_SPOCK1_DPYSL3_FBXO38_SLIT3_TLX3_NKX2-5_DBN1_BMP6_ID4_KIAA0319_NEU1_SYNGAP1_PACSIN1_CPNE5_SRF_VEGFA_BMP5_BEND6_RIMS1_TMEM30A_CNR1_EPHA7_POU3F2_SNX3_FIG4_FYN_HDAC2_HEY2_SGK1_UST_KATNA1_PARK2_DLL1_SDK1_MMD2_RAC1_IL6_HOXA2_GLI3_CAMK2B_VWC2_COBL_LIMK1_YWHAG_MAGI2_SEMA3C_HGF_SEMA3A_SEMA3D_PPP1R9A_SMURF1_EPO_CUX1_RELN_IFRD1_CAV1_WNT2_FEZF1_PLXNA4_PTN_BRAF_KEL_EZH2_CDK5_SHH_LZTS1_NEFL_DPYSL2_PTK2B_KIF13B_NRG1_FGFR1_SFRP1_IKBKB_UBE2V2_LYN_EYA1_STMN2_SDC2_RIMS2_ZHX2_ASAP1_PTK2_KANK1_VLDLR_PTPRD_HNRNPK_NTRK2_SEMA4D_OGN_KLF4_LPAR1_TRIM32_BRINP1_CDK5RAP2_DAB2IP_NCS1_ABL1_RAPGEF1_SETX_OLFM1_NOTCH1_NSMF_IL15RA_GATA3_CAMK1D_VIM_SLC39A12_ZEB1_NRP1_RET_CXCL12_DKK1_NEUROG3_PTEN_ANKRD1_CPEB3_SLIT1_LBX1_NEURL1_FUOM_MOB2_ILK_PTPN5_BDNF_PAX6_CAPRIN1_LRRC4C_LRP4_CNTF_PRPF19_MARK2_PPP2R5B_CFL1_SSH3_CTTN_P2RY2_GDPD5_TRPC6_DIXDC1_DDX6_THY1_CDON_FKBP4_NTF3_PTPRO_CAPRIN2_CNTN1_ADCY6_ATF1_GDF11_LRP1_AVIL_IFNG_RAB21_SYT1_EPYC_PLXNC1_ASCL1_SSH1_TRPV4_CUX2_RASAL1_FBXW8_CIT_RNF6_SPG20_EDNRB_RAP2A_STK24_NFATC4_PRKD1_FOXA1_ARF6_BMP4_SIX1_AKAP5_SIPA1L1_PSEN1_DICER1_BCL11B_BAG5_AKT1_EIF2AK4_LTK_DUOXA1_SEMA6D_NEDD4_TCF12_BNIP2_MAP2K1_SEMA7A_ISL2_LINGO1_CHRNA3_CPEB1_NTRK3_CIB1_FES_RGMA_SOX8_TNFRSF12A_RRN3_SYT17_GPRC5B_EEF2K_TBX6_SALL1_IRX3_MT3_KATNB1_NDRG4_IST1_ZFHX3_FBXO31_SERPINF1_RAP1GAP2_CYB5D2_KCTD11_NDEL1_NTN1_PMP22_TRPV2_ULK2_SARM1_SEZ6_SLC6A4_OMG_CDK5R1_CCL5_SRCIN1_NEUROD2_RARA_RND2_GRN_GFAP_MAPT_WNT3_CDK5RAP3_NGFR_ITGA3_NME1_MMD_NOG_SOX9_SPHK1_TIMP2_AATK_RAC3_ADCYAP1_TGIF1_MIB1_IMPACT_CDH2_SYT4_SKOR2_DCC_TCF4_NEDD4L_BCL2_MBP_SF3A2_TLE6_HMG20B_SEMA6B_PRKCSH_CACNA1A_NOTCH3_UNC13A_CRTC1_ZNF536_ANKRD27_MAG_NUMBL_MEGF8_APOE_ARHGAP35_CRX_NTF4_KLK8_BMP2_JAG1_NKX2-2_FOXA2_ID1_DNMT3B_CBFA2T2_CPNE1_TGIF2_ZMYND8_PREX1_ADNP_BMP7_SS18L1_PTK6_CHODL_APP_ADAMTS1_TIAM1_OLIG2_TTC3_DSCAM_RTN4R_LIF_YWHAH_LGALS1_EP300_SHANK3
513951_GO:0060395_SMAD_protein_signal_transduction,58,52,1000,1.37206343985741e-09,0.026973026973027,SKI_BMP8B_JUN_TGFB2_LEFTY2_GDF7_BMP10_ATOH8_INHBB_MSTN_INHA_SLC33A1_NCEH1_AFP_BMP3_SMAD1_SUB1_LNPEP_GDF9_JADE2_SMAD5_BMP6_BMP5_T_INHBA_MAGI2_HIPK2_GATA4_BMP1_GDF6_ROR2_VIM_GDF10_NODAL_RBM14-RBM4_GDF11_INHBE_BTBD11_SMAD9_BMP4_FOS_TGFB3_SMAD3_STOML1_SMAD2_SMAD4_GDF1_TGFB1_BMP2_GDF5_HNF4A_BMP7
514395_GO:0060840_artery_development,83,79,1000,6.22669217924663e-12,0.026973026973027,LUZP1_ANGPTL3_GJA5_PRRX1_PROX1_APOB_SNX17_LTBP1_LRP2_COL3A1_BMPR2_ACVR2B_MYLK_PLXND1_HES1_RBPJ_PKD2_SEC24B_HAND2_HPGD_PTGER4_ADAMTS6_LOX_NDST1_SOX4_SRF_VEGFA_TFAP2B_PRDM1_HEY2_CITED2_HOXA13_GLI3_ELN_SHH_NKX3-1_KAT6A_CHD7_EYA1_HEY1_FOXH1_TGFBR1_CNTRL_ENG_PRRX2_NOTCH1_NRP1_ZMIZ1_FGF8_SUFU_FOLR1_WNT11_PRICKLE1_RAPGEF3_ACVRL1_LRP1_HECTD1_BMP4_SIX1_DLL4_SMAD6_STRA6_KIF7_NPRL3_DCTN5_FOXC2_MYH10_MYOCD_NF1_AP2B1_TBX2_SMAD7_DNM2_NOTCH3_APOE_FUZ_JAG1_TBX1_TAB1
514553_GO:0060998_regulation_of_dendritic_spine_development,51,50,1000,9.88568012019343e-10,0.026973026973027,MTOR_FOXO6_LRP8_EFNA1_DNM3_SRGAP2C_ARF1_DISC1_EPHA4_NGEF_CAMK1_NLGN1_PDLIM5_IL2_PLK2_MEF2C_FSTL4_HDAC2_SDK1_CAMK2B_PPP1R9A_RELN_CDK5_NRG1_ASAP1_HNRNPK_LPAR1_PTEN_CPEB3_NEURL1_CAPRIN1_CFL1_CAPRIN2_LRRK2_CUX2_ARF6_SIPA1L1_PSEN1_ITPKA_EEF2K_PAFAH1B1_CDK5R1_SRCIN1_GRN_BAIAP2_APOE_SHANK1_ZMYND8_TIAM1_SHANK3
515776_GO:0070848_response_to_growth_factor,768,564,1000,9.06101713372766e-48,0.026973026973027,SKI_ARHGEF16_PLEKHG5_ERRFI1_PIK3CD_MTOR_TNFRSF1B_CASP9_EPHA2_WNT4_RUNX3_RPS6KA1_OPRD1_HDAC1_AGO3_BMP8B_MKNK1_ZFYVE9_LRP8_JUN_ITGB3BP_JAK1_PRKACB_TGFBR3_VCAM1_VAV3_PSMA5_KCND3_MOV10_NRAS_NGF_HFE2_APH1A_THEM4_SHC1_BGLAP_ARHGEF11_SPTA1_NCSTN_F11R_XCL1_FASLG_RASAL2_TPR_UCHL5_FMOD_DSTYK_IL10_TGFB2_PSEN2_OBSCN_RYR2_GREM2_KIDINS220_ADAM17_GDF7_ADCY3_CAD_PPP1CB_RASGRP3_SOS1_PRKCE_CALM2_RPS27A_XPO1_BMP10_HTRA2_IL1R1_TGFBRAP1_LIMS1_BCL2L11_RALB_ARHGEF4_CCNT2_ACVR2A_ACVR1_PSMD14_PDE1A_COL3A1_MSTN_BMPR2_CD28_NRP2_CREB1_CPS1_ERBB4_FN1_STK16_CUL3_IRS1_PSMD1_NGEF_DTYMK_IL5RA_ITPR1_RAF1_WNT7A_TGFBR2_TRIM71_ACVR2B_CX3CR1_CTNNB1_CLEC3B_TDGF1_PRKAR2A_RHOA_MAPKAPK3_TWF2_PRKCD_WNT5A_IL17RD_PSMD6_TRAT1_FSTL1_CD86_ADCY5_ITGB5_PIK3CB_TFDP2_WWTR1_P2RY1_SLC33A1_SKIL_ECT2_PIK3CA_SOX2_CHRD_FGF12_ACAP2_FGFRL1_FGFR3_MSX1_FGFBP1_PPARGC1A_KLB_PHOX2B_KDR_CXCL8_BTC_CXCL13_PAQR3_FGF5_BMP3_IBSP_SNCA_BMPR1B_LAMTOR3_UBE2D3_LEF1_EGF_CAMK2D_CCNA2_FGF2_GAB1_SMAD1_RAPGEF2_HPGD_CASP3_SRD5A1_ADCY2_TRIO_ADAMTS12_RICTOR_FGF10_MAP3K1_PIK3R1_RASGRF2_RASA1_MEF2C_RGMB_FER_CAMK4_APC_GDF9_PPP2CA_SMAD5_EGR1_HBEGF_HDAC3_FGF1_NDST1_SPARC_FGF18_NKX2-5_MSX2_FGFR4_FLT4_GNB2L1_BMP6_GCNT2_EDN1_TBC1D7_HFE_POU5F1_PSMB9_ITPR3_MAPK13_FGD2_BYSL_PPP2R5D_VEGFA_CDC5L_BMP5_EEF1A1_MAP3K7_CCNC_FOXO3_SMPD2_FYN_HDAC2_PTPRK_CTGF_CITED2_OPRM1_TIAM2_RPS6KA2_PSMB1_PRKAR1B_RAC1_TWIST1_IL6_ADCYAP1R1_PDE1C_RALA_PSMA2_CAMK2B_ADCY1_DDC_EGFR_ELN_HSPB1_MAGI2_HGF_FZD1_AKAP9_COL1A2_DLX5_TAC1_SMURF1_MCM7_SERPINE1_RASA4_PSMC2_PRKAR2B_CAV1_WNT2_PTN_HIPK2_BRAF_ZYX_ANGPT2_GATA4_FGF20_EGR3_NEFL_CLU_DUSP4_PPP2CB_NRG1_FGFR1_ADAM9_SFRP1_IKBKB_FNTA_SNAI2_PENK_STMN2_E2F5_CPNE3_RIPK2_GDF6_KLF10_ANGPT1_HAS2_MYC_ADCY8_PTK2_FOXH1_JAK2_CER1_SH3GL2_CDKN2B_TEK_CLTA_PRKACG_PCSK5_NTRK2_GAS1_SHC3_ROR2_FGD3_TGFBR1_KLF4_TNC_DAB2IP_PSMB7_MAPKAP1_ENG_SPTAN1_RAPGEF1_SETX_RALGDS_VAV2_NOTCH1_GRIN1_NET1_IL2RA_GATA3_BAMBI_NRP1_PARD3_RASGEF1A_GDF10_MAPK8_UBE2D1_NODAL_C10orf54_DDIT4_PLAU_BMPR1A_PTEN_FAS_ANKRD1_ZFYVE27_CHUK_PAX2_FGF8_SHOC2_FGFR2_AP2A2_TH_PTH_CALCA_SOX6_KCNC1_BDNF_FSHB_CAT_CD44_TRAF6_LRP4_PSMC3_SCGB1A1_BAD_PPP2R5B_FIBP_SPTBN2_GSTP1_FGF3_PDE2A_ARHGEF17_RPS3_NOX4_CEP57_PDGFD_NCAM1_HTR3A_APOA1_CBL_ARHGEF12_FEZ1_FGF6_CDKN1B_GRIN2B_STRAP_PDE3A_KRAS_ITPR2_FGD4_COL2A1_ADCY6_ATF1_NR4A1_AMHR2_PDE1B_SLC39A5_USP15_MDM2_FRS2_KCNC2_NTS_KITLG_DUSP6_LUM_APAF1_ASCL1_PRDM4_PPP1CC_BRAP_PTPN11_RASAL1_NOS1_PEBP1_PXN_PSMD9_UBC_FGF9_CDK8_FLT1_KL_SMAD9_POSTN_FOXO1_KBTBD7_SPRY2_FGF14_IRS2_COL4A2_ARHGEF7_RASA3_MYH6_ADCY4_PRKD1_NFKBIA_PAX9_SOS2_FERMT2_BMP4_PSMA3_PPM1A_SPTB_FUT8_LTBP2_FOS_TGFB3_SNW1_FLRT2_RPS6KA5_CCNK_MARK3_AKT1_NDN_MEIS2_RASGRP1_DLL4_EHD4_FBN1_FGF7_RNF111_APH1B_MAP2K5_PML_NRG4_LINGO1_RASGRF1_AKAP13_NTRK3_FURIN_RGMA_MEF2A_PCSK6_STUB1_PDPK1_ADCY9_GRIN2A_EEF2K_TNRC6A_LAT_CORO1A_SHCBP1_ADCY7_MT1G_CDH5_PSMB10_PHLPP2_ZFHX3_PSMD7_BCAR1_WWOX_INPP5K_TRPV1_PFN1_TP53_MYOCD_UBB_MAPK7_NLK_OMG_PSMD11_CCL2_CCL5_AATF_PSMB3_PSMD3_PSME3_DUSP3_NGFR_COL1A1_WFIKKN2_TMEM100_NOG_MTMR4_RPS6KB1_SMURF2_PRKCA_PRKAR1A_SOX9_GRB2_SPHK1_TNRC6C_EIF4A3_CSNK1D_ADCYAP1_TGIF1_TWSG1_GATA6_PSMA8_DSG4_RIT2_SMAD2_SMAD7_SMAD4_NEDD4L_PHLPP1_MAP2K2_ARHGEF18_DNMT1_IER2_PRKACA_RASAL3_GDF1_URI1_PDCD5_PSENEN_SIRT2_SPTBN4_TGFB1_MEGF8_AP2S1_PPP1R15A_AKT1S1_PPP2R1A_PRKCG_UBE2M_TRIB3_FKBP1A_PTPRA_BMP2_FLRT3_KIF16B_DUSP15_E2F1_GDF5_SRC_PLCG1_YWHAB_PMEPA1_GATA5_APP_TIAM1_ITSN1_RUNX1_RTN4R_CRKL_MAPK1_ADORA2A_XBP1_IL2RB_MICALL1_TAB1_TNRC6B_EP300_PRR5_MAPK11
518841_GO:2000194_regulation_of_female_gonad_development,11,10,1000,4.04878665201115e-05,0.026973026973027,PTGER4_GDF9_GNRH1_ZFPM2_NR5A1_WT1_NUPR1_AMH_RETN_UMODL1
751693_GO:0044548_S100_protein_binding,13,12,1000,2.8827502382492e-05,0.026973026973027,S100A11_S100A1_KCNK3_FGF1_AGER_EZR_ANXA11_AHNAK_ATP2A2_ANXA2_IQGAP1_S100B
83035_hsa02010_ABC_transporters,41,31,1000,1.06444285870404e-07,0.026973026973027,ABCD3_ABCB10_ABCG8_ABCB11_ABCA12_ABCB6_ABCC5_ABCG2_TAP1_ABCC10_ABCB5_ABCA13_ABCB1_CFTR_ABCB8_ABCA1_ABCA2_ABCC2_ABCC8_ABCG4_ABCC9_ABCD2_ABCB9_ABCC4_ABCD4_ABCA3_ABCC6_ABCC11_ABCC3_ABCA5_ABCG1
1129498_GO:1903672_positive_regulation_of_sprouting_angiogenesis,13,13,1000,2.49652777094981e-05,0.027972027972028,JAK1_PTGS2_CCR2_FGF2_VEGFA_DLL1_HDAC9_HDAC7_ITGA5_HMGB1_CIB1_FOXC2_PPP1R16B
